"country","id","mayor","metroPopulation","name","population","rank","sameAs"
"Brazil","150","D�rcy Vera","789 thousand","Ribeirao Preto","547 thousand","591","http://dbpedia.org/resource/Ribeir%C3%A3o_Preto"
"Belgium","392","Patrick Janssens","948 thousand","Antwerp","444 thousand","n/r","http://dbpedia.org/resource/Antwerp"
"USA","151","Dwight Clinton Jones","1.213 thousand","Richmond","200 thousand","n/r","http://dbpedia.org/resource/Richmond._Virginia"
"Belgium","393","Dani�l Termont",,"Gent","233 thousand","n/r","http://dbpedia.org/resource/Ghent"
"Latvia","152","Nils Usakovs","878 thousand","RIGA","725 thousand","528","http://dbpedia.org/resource/Riga"
"Belgium","394","Patrick Moenaert",,"Bruges","117 thousand","n/r","http://dbpedia.org/resource/Bruges"
"Brazil","153","Eduardo Paes","14.387 thousand","Rio de Janeiro","6.093 thousand","31","http://dbpedia.org/resource/Rio_de_Janeiro"
"Bolivia","395","Percy Fernandez","1.863 thousand","Santa Cruz","1.595 thousand","196","http://dbpedia.org/resource/Santa_Cruz_de_la_Sierra"
"Saudi Arabia","154","Abdul Aziz ibn 'Ayyaf Al Migrin","5.855 thousand","RIYADH","4.950 thousand","40","http://dbpedia.org/resource/Riyadh"
"Bolivia","396","Luis Antonio Revilla Herrero","1.551 thousand","LA PAZ","1.517 thousand","212","http://dbpedia.org/resource/La_Paz"
"China","155","Zhao Xiaowei",,"Rizhao","1.290 thousand","299","http://dbpedia.org/resource/Rizhao"
"Bolivia","397","n/k","798 thousand","Cochabamba","608 thousand","568","http://dbpedia.org/resource/Cochabamba"
"USA","156","n/k","1.100 thousand","Rochester","220 thousand","n/r","http://dbpedia.org/resource/Rochester._New_York"
"Brazil","398","Gilberto Kassab","19.890 thousand","Sao Paulo","11.038 thousand","9","http://dbpedia.org/resource/S%C3%A3o_Paulo"
"Italy","157","Gianni Alemanno","3.555 thousand","ROME","2.732 thousand","90","http://dbpedia.org/resource/Rome"
"Brazil","399","Eduardo Paes","14.387 thousand","Rio de Janeiro","6.093 thousand","31","http://dbpedia.org/resource/Rio_de_Janeiro"
"Argentina","158","Miguel Lifschitz","1.358 thousand","Rosario","1.160 thousand","343","http://dbpedia.org/resource/Rosario._Santa_Fe"
"Germany","159","Roland Methling",,"Rostock","201 thousand","n/r","http://dbpedia.org/resource/Rostock"
"Canada","50","G�rald Tremblay","3.636 thousand","Montreal","1.621 thousand","189","http://dbpedia.org/resource/Montreal"
"Russia","51","Sergei Sobyanin","14.800 thousand","MOSCOW","10.524 thousand","10","http://dbpedia.org/resource/Moscow"
"Iraq","52","n/k","1.139 thousand","Mosul","1.139 thousand","348","http://dbpedia.org/resource/Mosul"
"China","53","n/k","2.707 thousand","Mudanjiang","1.014 thousand","402","http://dbpedia.org/resource/Mudanjiang"
"Pakistan","54","Mian Faisal Mukhtar","1.500 thousand","Multan","1.424 thousand","243","http://dbpedia.org/resource/Multan"
"India","55","Shraddha Jadhav","21.200 thousand","Mumbai (Bombay)","13.900 thousand","3","http://dbpedia.org/resource/Mumbai"
"Germany","56","Christian Ude","2.600 thousand","Munich","1.367 thousand","271","http://dbpedia.org/resource/Munich"
"Germany","57","Markus Lewe",,"M�nster","274 thousand","n/r","http://dbpedia.org/resource/M%C3%BCnster"
"India","58","Purushotham",,"Mysore","799 thousand","501","http://dbpedia.org/resource/Mysore"
"Japan","59","Takashi Kawamura","9.250 thousand","Nagoya","2.260 thousand","125","http://dbpedia.org/resource/Nagoya"
"Russia","160","Mikhail Chernyshyov","1.250 thousand","Rostov on Don","1.068 thousand","382","http://dbpedia.org/resource/Rostov-on-Don"
"Netherlands","161","Ahmed Aboutaleb","1.187 thousand","Rotterdam","590 thousand","572","http://dbpedia.org/resource/Rotterdam"
"China","162","Ding Dawei",,"Rugao","1.453 thousand","232","http://dbpedia.org/resource/Rugao"
"China","163","n/k",,"Ruian","1.250 thousand","311","http://dbpedia.org/resource/Rui'an"
"Ecuador","164","Jaime Nebot","2.686 thousand","Guayaquil","2.196 thousand","131","http://dbpedia.org/resource/Guayaquil"
"Ecuador","165","Augusto Barrera","1.842 thousand","QUITO","1.648 thousand","187","http://dbpedia.org/resource/Quito"
"Egypt","166","Abdul Azim Wazir","15.546 thousand","CAIRO","7.764 thousand","21","http://dbpedia.org/resource/Cairo"
"Egypt","167","Adel Labib","4.350 thousand","Alexandria","4.110 thousand","52","http://dbpedia.org/resource/Alexandria"
"Egypt","168","n/k","2.600 thousand","Giza","2.225 thousand","127","http://dbpedia.org/resource/Giza"
"Egypt","169","n/k",,"Subra al-Haymah","998 thousand","412","http://dbpedia.org/resource/Shubra_El-Kheima"
"India","60","Archana Dehankar",,"Nagpur","2.420 thousand","117","http://dbpedia.org/resource/Nagpur"
"Kenya","61","Geoffrey Majiwa","3.300 thousand","NAIROBI","3.130 thousand","74","http://dbpedia.org/resource/Nairobi"
"China","62","Chen Law",,"Nanan","1.480 thousand","224","http://dbpedia.org/resource/Nan'an._Fujian"
"China","63","Hu Xian","3.790 thousand","Nanchang","1.844 thousand","154","http://dbpedia.org/resource/Nanchang"
"China","64","Liu Hongjian","7.300 thousand","Nanchong","1.950 thousand","144","http://dbpedia.org/resource/Nanchong"
"China","65","Ji Jianye","7.600 thousand","Nanjing","4.150 thousand","51","http://dbpedia.org/resource/Nanjing"
"China","66","Huang Fangfang","6.480 thousand","Nanning","2.450 thousand","115","http://dbpedia.org/resource/Nanning"
"France","67","Jean-Marc Ayrault","804 thousand","Nantes","283 thousand","n/r","http://dbpedia.org/resource/Nantes"
"China","68","Huang Xingwei","10.700 thousand","Nanyang","800 thousand","500","http://dbpedia.org/resource/Nanyang._Henan"
"Italy","69","Rosa Russo Jervolino","3.0000 thousand","Naples","963 thousand","423","http://dbpedia.org/resource/Naples._Florida"
"El Salvador","170","Norman Quijano","1.580 thousand","SAN SALVADOR","520 thousand","n/r","http://dbpedia.org/resource/San_Salvador"
"Eritrea","171","n/k","881 thousand","ASMARA","392 thousand","n/r","http://dbpedia.org/resource/Asmara"
"Estonia","172","Edgar Savisaar",,"TALLINN","407 thousand","n/r","http://dbpedia.org/resource/Tallinn"
"Ethiopia","173","Kuma Demeksa","4.568 thousand","ADDIS ABABA","3.385 thousand","70","http://dbpedia.org/resource/Addis_Ababa"
"Finland","174","Jussi Pajunen","1.311 thousand","HELSINKI","583 thousand","577","http://dbpedia.org/resource/Helsinki"
"France","175","Bertrand Delano�","11.769 thousand","PARIS","2.113 thousand","133","http://dbpedia.org/resource/Paris"
"France","176","Jean-Claude Gaudin","1.605 thousand","Marseille","852 thousand","464","http://dbpedia.org/resource/Marseille"
"France","177","G�rard Collomb","1.665 thousand","Lyon","472 thousand","n/r","http://dbpedia.org/resource/Lyon"
"France","178","Pierre Cohen","851 thousand","Toulouse","438 thousand","n/r","http://dbpedia.org/resource/Toulouse"
"France","179","Christian Estrosi","943 thousand","Nice","347 thousand","n/r","http://dbpedia.org/resource/Nice"
"India","70","Nayana Gholap",,"Nashik","1.620 thousand","190","http://dbpedia.org/resource/Nashik"
"USA","71","Karl Dean","1.633 thousand","Nashville","626 thousand","565","http://dbpedia.org/resource/Nashville._Tennessee"
"Brazil","72","n/k","1.100 thousand","Natal","790 thousand","503","http://dbpedia.org/resource/Natal._Rio_Grande_do_Norte"
"Mexico","73","Azucena Olivares Villag�mez","835 thousand","Naucalpan","822 thousand","478","http://dbpedia.org/resource/Naucalpan"
"China","74","n/k",,"Neijiang","1.560 thousand","201","http://dbpedia.org/resource/Neijiang"
"USA","75","Mitch Landrieu","1.350 thousand","New Orleans","488 thousand","n/r","http://dbpedia.org/resource/New_Orleans"
"USA","76","Michael Bloomberg","20.090 thousand","New York City","8.364 thousand","17","http://dbpedia.org/resource/New_York_City"
"UK","77","n/k","800 thousand","Newcastle upon Tyne","234 thousand","n/r","http://dbpedia.org/resource/Newcastle_upon_Tyne"
"Mexico","78","Edgar Ces�reo Navarro S�nchez","1.150 thousand","Nezahualcoyotl","1.141 thousand","346","http://dbpedia.org/resource/Ciudad_Nezahualc%C3%B3yotl"
"France","79","Christian Estrosi","943 thousand","Nice","347 thousand","n/r","http://dbpedia.org/resource/Nice"
"France","180","Jean-Marc Ayrault","804 thousand","Nantes","283 thousand","n/r","http://dbpedia.org/resource/Nantes"
"France","181","Roland Rie","639 thousand","Strasbourg","273 thousand","n/r","http://dbpedia.org/resource/Strasbourg"
"France","182","H�l�ne Mandroux-Colas",,"Montpellier","252 thousand","n/r","http://dbpedia.org/resource/Montpellier"
"France","183","Alain Jupp�","1.010 thousand","Bordeaux","250 thousand","n/r","http://dbpedia.org/resource/Bordeaux"
"France","184","Martine Aubry","1.143 thousand","Lille","226 thousand","n/r","http://dbpedia.org/resource/Lille"
"France","185","Daniel Delaveau",,"Rennes","206 thousand","n/r","http://dbpedia.org/resource/Rennes"
"Georgia","186","Giorgi Ugulava","1.550 thousand","TBILISI","1.490 thousand","221","http://dbpedia.org/resource/Tbilisi"
"Germany","187","Klaus Wowereit","3.943 thousand","BERLIN","3.432 thousand","68","http://dbpedia.org/resource/Berlin"
"Germany","188","Olaf Scholz","3.260 thousand","Hamburg","1.775 thousand","166","http://dbpedia.org/resource/Hamburg"
"Germany","189","Christian Ude","2.600 thousand","Munich","1.367 thousand","271","http://dbpedia.org/resource/Munich"
"Japan","80","Akira Shinoda",,"Niigata","812 thousand","486","http://dbpedia.org/resource/Niigata._Niigata"
"China","81","Mao Guanglie","5.600 thousand","Ningbo","2.201 thousand","130","http://dbpedia.org/resource/Ningbo"
"Russia","82","Vadim Bulavinov","1.900 thousand","Nizhniy Novgorod","1.280 thousand","304","http://dbpedia.org/resource/Nizhny_Novgorod"
"USA","83","Paul D Fraim","1.616 thousand","Norfolk","850 thousand","466","http://dbpedia.org/resource/Norfolk._Virginia"
"Brazil","84","Lindberg Farias","959 thousand","Nova Iguacu","846 thousand","469","http://dbpedia.org/resource/Nova_Igua%C3%A7u"
"Russia","85","Vladimir Gorodetsky","1.429 thousand","Novosibirsk","1.396 thousand","258","http://dbpedia.org/resource/Novosibirsk"
"Germany","86","Ulrich Maly","1.008 thousand","Nuremberg","504 thousand","n/r","http://dbpedia.org/resource/Nuremberg"
"USA","87","Jean Quan",,"Oakland","446.900","n/r","http://dbpedia.org/resource/Oakland._California"
"Germany","88","Klaus Wehling",,"Oberhausen","216 thousand","n/r","http://dbpedia.org/resource/Oberhausen"
"Ukraine","89","Eduard Gurwits","1.200 thousand","Odessa","1.080 thousand","377","http://dbpedia.org/resource/Odessa"
"Germany","190","J�rgen Roters","11.297 thousand","Cologne","995 thousand","414","http://dbpedia.org/resource/Cologne"
"Germany","191","Petra Roth","2.717 thousand","Frankfurt","665 thousand","557","http://dbpedia.org/resource/Frankfurt"
"Germany","192","Wolfgang Schuster","2.330 thousand","Stuttgart","600 thousand","570","http://dbpedia.org/resource/Stuttgart"
"Germany","193","Ullrich Sierau",,"Dortmund","584 thousand","573","http://dbpedia.org/resource/Dortmund"
"Germany","194","Reinhard Pa�",,"Essen","580 thousand","579","http://dbpedia.org/resource/Essen"
"Germany","195","Jens B�hrnsen","1.009 thousand","Bremen","547 thousand","590","http://dbpedia.org/resource/Bremen"
"Germany","196","Stephan Weil","1.130 thousand","Hannover","520 thousand","n/r","http://dbpedia.org/resource/Hanover"
"Germany","197","Burkhard Jung","1.417 thousand","Leipzig","515 thousand","n/r","http://dbpedia.org/resource/Leipzig"
"Germany","198","Helma Orosz","1.030 thousand","Dresden","512 thousand","n/r","http://dbpedia.org/resource/Dresden"
"Germany","199","Ulrich Maly","1.008 thousand","Nuremberg","504 thousand","n/r","http://dbpedia.org/resource/Nuremberg"
"Nigeria","90","n/k","985 thousand","Ogbomosho","726 thousand","527","http://dbpedia.org/resource/Ogbomosho"
"Japan","91","Shigeo Takaya","1.250 thousand","Okayama","700 thousand","539","http://dbpedia.org/resource/Okayama"
"Japan","92","Kita Kurose",,"Okinawa","129 thousand","n/r","http://dbpedia.org/resource/Okinawa._Okinawa"
"USA","93","Mick Cornett","1.276 thousand","Oklahoma City","551 thousand","588","http://dbpedia.org/resource/Oklahoma_City"
"Sudan","94","Al-Fatih Az-ddin",,"Omdurman","2.400 thousand","118","http://dbpedia.org/resource/Omdurman"
"Russia","95","Viktor Shreyder","1.145 thousand","Omsk","1.137 thousand","350","http://dbpedia.org/resource/Omsk"
"Nigeria","96","n/k","1.001 thousand","Onitsha","509 thousand","n/r","http://dbpedia.org/resource/Onitsha"
"Algeria","97","Saddek Benkada","772 thousand","Oran","683 thousand","547","http://dbpedia.org/resource/Oran"
"USA","98","Buddy Dyer","2.055 thousand","Orlando","231 thousand","n/r","http://dbpedia.org/resource/Orlando._Florida"
"Japan","99","Kunio Hiramatsu","17.590 thousand","Osaka","2.647 thousand","95","http://dbpedia.org/resource/Osaka"
