"country","id","mayor","metroPopulation","name","population","rank","sameAs"
"Brazil","667","Sebasti�o Moreira","1.500 thousand","Guarulhos","1.283 thousand","300","http://dbpedia.org/resource/Guarulhos"
"Bulgaria","426","Yordanka Fandukova","1.455 thousand","SOFIA","1.403 thousand","252","http://dbpedia.org/resource/Sofia"
"Guatemala","668","Alvaro Arz�","2.564 thousand","GUATEMALA CITY","1.090 thousand","372","http://dbpedia.org/resource/Guatemala_City"
"Burkina Faso","427","Simon Compaor�","1.727 thousand","OUAGADOUGOU","1.475 thousand","225","http://dbpedia.org/resource/Ouagadougou"
"Ecuador","669","Jaime Nebot","2.686 thousand","Guayaquil","2.196 thousand","131","http://dbpedia.org/resource/Guayaquil"
"Cambodia","428","Keb Chutema","2.001 thousand","PHNOM PENH","1.242 thousand","314","http://dbpedia.org/resource/Phnom_Penh"
"Cameroon","429","n/k","1.550 thousand","YAOUND�","1.430 thousand","242","http://dbpedia.org/resource/Yaound%C3%A9"
"China","670","n/k","4.400 thousand","Guigang","1.500 thousand","215","http://dbpedia.org/resource/Guigang"
"China","671","Li Zhigang",,"Guilin","1.340 thousand","280","http://dbpedia.org/resource/Guilin"
"Cameroon","430","n/k","2.000 thousand","Douala","1.382 thousand","263","http://dbpedia.org/resource/Douala"
"China","672","n/k",,"Guiping","1.420 thousand","245","http://dbpedia.org/resource/Guiping"
"Canada","431","Rob Ford","5.100 thousand","Toronto","2.571 thousand","101","http://dbpedia.org/resource/Toronto"
"China","673","Yuan Zhou",,"Guiyang","3.450 thousand","67","http://dbpedia.org/resource/Guiyang"
"Canada","432","G�rald Tremblay","3.636 thousand","Montreal","1.621 thousand","189","http://dbpedia.org/resource/Montreal"
"Pakistan","674","Fayyaz Ahmad Chattha","1.900 thousand","Gujranwala","1.416 thousand","249","http://dbpedia.org/resource/Gujranwala"
"Canada","433","Naheed Nenshi","1.080 thousand","Calgary","988 thousand","416","http://dbpedia.org/resource/Calgary"
"India","675","Dolly Borah","820 thousand","Guwahati","808 thousand","492","http://dbpedia.org/resource/Guwahati"
"Canada","434","Larry O'Brien","1.131 thousand","OTTAWA","815 thousand","483","http://dbpedia.org/resource/Ottawa"
"India","676","Sameeksha Gupta","866 thousand","Gwalior","690 thousand","542","http://dbpedia.org/resource/Gwalior"
"Canada","435","Stephen Mandel","1.035 thousand","Edmonton","730 thousand","526","http://dbpedia.org/resource/Edmonton"
"South Korea","677","Kang Un-tae","1.500 thousand","Gwangju","1.415 thousand","250","http://dbpedia.org/resource/Gwangju"
"Canada","436","Gregor Robertson","2.120 thousand","Vancouver","580 thousand","580","http://dbpedia.org/resource/Vancouver"
"China","678","n/k",,"Haicheng","1.130 thousand","354","http://dbpedia.org/resource/Haicheng._Liaoning"
"Canada","437","R�gis Labeaume","717 thousand","Qu�bec","495 thousand","n/r","http://dbpedia.org/resource/Quebec"
"Israel","679","Yona Yahav","975 thousand","Haifa","276 thousand","n/r","http://dbpedia.org/resource/Haifa"
"Central African Republic","438","n/k","789 thousand","BANGUI","652 thousand","560","http://dbpedia.org/resource/Bangui"
"Chile","439","Pablo Zalaquett Said","6.677 thousand","SANTIAGO","5.278 thousand","35","http://dbpedia.org/resource/Santiago"
"China","680","n/k",,"Haikou","830 thousand","474","http://dbpedia.org/resource/Haikou"
"China","681","n/k",,"Haimen","950 thousand","429","http://dbpedia.org/resource/Haimen"
"Chile","440","Jacqueline van Rysselberghe","978 thousand","Concepci�n","404 thousand","n/r","http://dbpedia.org/resource/Concepci%C3%B3n._Chile"
"Vietnam","682","Trinh Quang Su","1.885 thousand","Haiphong","1.885 thousand","151","http://dbpedia.org/resource/Haiphong"
"Chile","441","Aldo Cornej","904 thousand","Valparaiso","301 thousand","n/r","http://dbpedia.org/resource/Valpara%C3%ADso"
"Germany","683","Dagmar Szabados",,"Halle","233 thousand","n/r","http://dbpedia.org/resource/Halle_(Saale)"
"Germany","200","Adolf Sauerland",,"Duisburg","494 thousand","n/r","http://dbpedia.org/resource/Duisburg"
"China","442","Han Zheng","19.200 thousand","Shanghai","14.900 thousand","2","http://dbpedia.org/resource/Shanghai"
"Syria","684","Abdul Razzaq al-Qutainy","1.500 thousand","Hama","325 thousand","n/r","http://dbpedia.org/resource/Hama"
